Entit�;Jo;Match;Date;Heure;EQA_no;EQA_nom;EQB_no;EQB_nom;Set;Score;Total;Salle;Arb1;Arb2;
PTPL44;01;CA1A001;2021-10-01;20:00;0440018;LEO VOLLEY DETENTE 1;0448821;US BOUGUENAIS 1; 3/0;25-22,25-22,25-18;75-62;GYMNASE GASTON TURPIN;;;;
PTPL44;01;CA1A002;2021-09-28;20:50;0440024;NPVB 1;0448335;ST HERBLAIN VB 2; 0/3;12-25,19-25,21-25;52-75;GYMNASE BOTTIERE CHESNAIE;;;;
PTPL44;01;CA1A003;2021-09-27;20:30;0440018;US PONT ST MARTIN;0442446;ASPTT 1; 3/0;25-18,25-16,25-20;75-54;SALLE GARDIN;;;;
PTPL44;01;CA1A004;2021-09-27;20:30;0442446;ASPTT 2;0446750;JGE SUCE 1; 1/3;25-20,15-25,16-25,24-26;80-96;SALLE LONGCHAMP;;;;
PTPL44;01;CA1A005;2021-09-29;20:15;0442443;ASBR 1;0440018;CASSAV; 2/3;25-20,22-25,25-21,17-25,13-15;102-106;GYMNASE M. ET M. LIBERGE;;;;
PTPL44;02;CA1A006;2021-10-05;21:00;0448821;US BOUGUENAIS 1;0440018;CASSAV; 3/1;25-23,16-25,25-18,25-20;91-86;SALLE DE LA GAGNERIE;;;;
PTPL44;02;CA1A007;2021-10-06;20:00;0446750;JGE SUCE 1;0442443;ASBR 1; 2/3;20-25,25-17,25-21,17-25,14-16;101-104;SALLE DE LA PAPINIERE;;;;
PTPL44;02;CA1A008;2021-10-04;20:30;0442446;ASPTT 1;0442446;ASPTT 2; 3/0;25-13,25-18,25-11;75-42;SALLE LONGCHAMP;;;;
PTPL44;02;CA1A009;2021-10-06;20:00;0448335;ST HERBLAIN VB 2;0440018;US PONT ST MARTIN; 0/3;22-25,19-25,23-25;64-75;LA SENSIVE;;;;
PTPL44;02;CA1A010;2021-10-08;20:00;0440018;LEO VOLLEY DETENTE 1;0440024;NPVB 1; 3/0;25-13,25-7,25-14;75-34;GYMNASE GASTON TURPIN;;;;
PTPL44;03;CA1A011;2021-10-12;20:50;0440024;NPVB 1;0448821;US BOUGUENAIS 1; 0/3;20-25,20-25,17-25;57-75;GYMNASE BOTTIERE CHESNAIE;;;;
PTPL44;03;CA1A012;2021-10-11;20:30;0440018;US PONT ST MARTIN;0440018;LEO VOLLEY DETENTE 1; 0/3;18-25,22-25,20-25;60-75;SALLE GARDIN;;;;
PTPL44;03;CA1A013;2021-10-11;20:30;0442446;ASPTT 2;0448335;ST HERBLAIN VB 2; 2/3;25-21,10-25,25-15,16-25,11-15;87-101;SALLE LONGCHAMP;;;;
PTPL44;03;CA1A014;2021-10-13;20:15;0442443;ASBR 1;0442446;ASPTT 1; 2/3;19-25,18-25,25-22,25-18,8-15;95-105;GYMNASE M. ET M. LIBERGE;;;;
PTPL44;03;CA1A015;2021-10-13;20:00;0440018;CASSAV;0446750;JGE SUCE 1; 3/1;15-25,28-26,25-20,25-20;93-91;SALLE RAPHAEL LEBEL;;;;
PTPL44;04;CA1A016;2021-10-19;21:00;0448821;US BOUGUENAIS 1;0446750;JGE SUCE 1; 3/2;25-15,24-26,20-25,25-18,15-13;109-97;SALLE DE LA GAGNERIE;;;;
PTPL44;04;CA1A017;2021-10-18;20:30;0442446;ASPTT 1;0440018;CASSAV; 2/3;25-15,17-25,20-25,25-16,11-15;98-96;SALLE LONGCHAMP;;;;
PTPL44;04;CA1A018;2021-10-20;20:00;0448335;ST HERBLAIN VB 2;0442443;ASBR 1; 3/1;17-25,25-19,25-21,25-19;92-84;LA SENSIVE;;;;
PTPL44;04;CA1A019;2021-10-22;20:00;0440018;LEO VOLLEY DETENTE 1;0442446;ASPTT 2; 3/0;25-13,25-12,25-15;75-40;GYMNASE GASTON TURPIN;;;;
PTPL44;04;CA1A020;2021-10-19;20:50;0440024;NPVB 1;0440018;US PONT ST MARTIN; 0/3;18-25,14-25,15-25;47-75;GYMNASE BOTTIERE CHESNAIE;;;;
PTPL44;05;CA1A021;2021-11-15;20:30;0440018;US PONT ST MARTIN;0448821;US BOUGUENAIS 1; 1/3;23-25,25-21,18-25,19-25;85-96;SALLE GARDIN;;;;
PTPL44;05;CA1A022;2021-11-15;20:30;0442446;ASPTT 2;0440024;NPVB 1; 0/3;19-25,21-25,20-25;60-75;SALLE LONGCHAMP;;;;
PTPL44;05;CA1A023;2021-11-17;20:15;0442443;ASBR 1;0440018;LEO VOLLEY DETENTE 1; 1/3;17-25,25-21,12-25,18-25;72-96;GYMNASE M. ET M. LIBERGE;;;;
PTPL44;05;CA1A024;2021-11-17;20:00;0440018;CASSAV;0448335;ST HERBLAIN VB 2; 3/1;25-20,25-21,23-25,25-19;98-85;SALLE RAPHAEL LEBEL;;;;
PTPL44;05;CA1A025;2021-11-17;20:00;0446750;JGE SUCE 1;0442446;ASPTT 1; 0/3;0-25,0-25,0-25;0-75;SALLE DE LA PAPINIERE;;;;
PTPL44;06;CA1A026;2021-11-23;21:00;0448821;US BOUGUENAIS 1;0442446;ASPTT 1; 2/3;25-17,25-15,18-25,18-25,13-15;99-97;SALLE DE LA GAGNERIE;;;;
PTPL44;06;CA1A027;2021-11-24;20:00;0448335;ST HERBLAIN VB 2;0446750;JGE SUCE 1; 3/0;25-20,27-25,28-26;80-71;LA SENSIVE;;;;
PTPL44;06;CA1A028;2021-11-26;20:00;0440018;LEO VOLLEY DETENTE 1;0440018;CASSAV; 2/3;31-29,25-20,23-25,17-25,16-18;112-117;GYMNASE GASTON TURPIN;;;;
PTPL44;06;CA1A029;2021-11-23;20:50;0440024;NPVB 1;0442443;ASBR 1; 2/3;25-23,18-25,25-21,14-25,8-15;90-109;GYMNASE BOTTIERE CHESNAIE;;;;
PTPL44;06;CA1A030;2021-11-22;20:30;0440018;US PONT ST MARTIN;0442446;ASPTT 2; 3/0;25-18,25-12,25-20;75-50;SALLE GARDIN;;;;
PTPL44;07;CA1A031;2021-11-29;20:30;0442446;ASPTT 2;0448821;US BOUGUENAIS 1; 0/3;15-25,23-25,21-25;59-75;SALLE LONGCHAMP;;;;
PTPL44;07;CA1A032;2021-12-01;20:15;0442443;ASBR 1;0440018;US PONT ST MARTIN; 0/3;17-25,19-25,21-25;57-75;GYMNASE M. ET M. LIBERGE;;;;
PTPL44;07;CA1A033;2021-12-01;20:00;0440018;CASSAV;0440024;NPVB 1; 3/0;25-20,25-20,25-20;75-60;SALLE RAPHAEL LEBEL;;;;
PTPL44;07;CA1A034;2021-12-01;20:00;0446750;JGE SUCE 1;0440018;LEO VOLLEY DETENTE 1; 0/3;16-25,11-25,13-25;40-75;SALLE DE LA PAPINIERE;;;;
PTPL44;07;CA1A035;2021-11-29;20:30;0442446;ASPTT 1;0448335;ST HERBLAIN VB 2; 3/1;22-25,25-16,25-19,25-15;97-75;SALLE LONGCHAMP;;;;
PTPL44;08;CA1A036;2021-12-07;21:00;0448821;US BOUGUENAIS 1;0448335;ST HERBLAIN VB 2; 3/1;18-25,25-22,25-22,25-16;93-85;SALLE DE LA GAGNERIE;;;;
PTPL44;08;CA1A037;2021-12-10;20:00;0440018;LEO VOLLEY DETENTE 1;0442446;ASPTT 1; 3/1;25-19,17-25,25-14,25-16;92-74;GYMNASE GASTON TURPIN;;;;
PTPL44;08;CA1A038;2021-12-07;20:50;0440024;NPVB 1;0446750;JGE SUCE 1; 1/3;13-25,25-18,24-26,16-25;78-94;GYMNASE BOTTIERE CHESNAIE;;;;
PTPL44;08;CA1A039;2021-12-06;20:30;0440018;US PONT ST MARTIN;0440018;CASSAV; 3/0;25-20,25-12,25-12;75-44;SALLE GARDIN;;;;
PTPL44;08;CA1A040;2021-12-06;20:30;0442446;ASPTT 2;0442443;ASBR 1; 3/1;23-25,25-22,25-12,25-14;98-73;SALLE LONGCHAMP;;;;
PTPL44;09;CA1A041;2021-12-15;20:15;0442443;ASBR 1;0448821;US BOUGUENAIS 1; 2/3;25-23,20-25,25-18,18-25,10-15;98-106;GYMNASE M. ET M. LIBERGE;;;;
PTPL44;09;CA1A042;2021-12-15;20:00;0440018;CASSAV;0442446;ASPTT 2; 3/1;25-20,25-20,21-25,25-20;96-85;SALLE RAPHAEL LEBEL;;;;
PTPL44;09;CA1A043;2021-12-15;20:00;0446750;JGE SUCE 1;0440018;US PONT ST MARTIN; 2/3;29-27,14-25,25-22,11-25,9-15;88-114;SALLE DE LA PAPINIERE;;;;
PTPL44;09;CA1A044;2021-12-13;20:30;0442446;ASPTT 1;0440024;NPVB 1; 3/0;25-15,25-7,25-13;75-35;SALLE LONGCHAMP;;;;
PTPL44;09;CA1A045;2021-12-15;20:00;0448335;ST HERBLAIN VB 2;0440018;LEO VOLLEY DETENTE 1; 1/3;22-25,17-25,25-17,22-25;86-92;LA SENSIVE;;;;
