Entit�;Jo;Match;Date;Heure;EQA_no;EQA_nom;EQB_no;EQB_nom;Set;Score;Total;Salle;Arb1;Arb2;
PTPL44;01;CE1A001;2025-09-22;20:00;0442442;VLS 7;0440044;AS LA MONTAGNE 3;;;;SALLE DE LA MARTELIERE;;;
PTPL44;01;CE1A002;2025-09-25;20:00;0440034;AL MALVILLE 4;0440043;SVB TREILLIERES 2;;;;COMPLEXE ALICE MILLIAT;;;
PTPL44;01;CE1A003;2025-09-22;19:30;0442441;ORVAULT VB 4;0440018;USFEN;;;;LA CHOLIERE;;;
PTPL44;01;CE1A004;2025-09-26;20:00;0440051;VOLLEY BALL LUCEEN 1;0440046;GRANDCHAMP VB 1;;;;HALLE DES SPORTS DE LA MINAIS;;;
PTPL44;01;CE1A005;2025-09-25;20:45;0449539;VB MESANGER 2;0440037;VVBL 5;;;;COMPLEXE DES CORNOUAILLES;;;
PTPL44;02;CE1A006;2025-09-30;20:15;0440044;AS LA MONTAGNE 3;0440037;VVBL 5;;;;SALLE JULES LADOUMEGUE;;;
PTPL44;02;CE1A007;2025-09-30;20:00;0440046;GRANDCHAMP VB 1;0449539;VB MESANGER 2;;;;COMPLEXE CENT SILLONS;;;
PTPL44;02;CE1A008;2025-09-29;20:30;0440018;USFEN;0440051;VOLLEY BALL LUCEEN 1;;;;GYMNASE VICTOR HUGO;;;
PTPL44;02;CE1A009;2025-10-03;20:00;0440043;SVB TREILLIERES 2;0442441;ORVAULT VB 4;;;;COMPLEXE DU GESVRE;;;
PTPL44;02;CE1A010;2025-09-29;20:00;0442442;VLS 7;0440034;AL MALVILLE 4;;;;SALLE DE LA MARTELIERE;;;
PTPL44;03;CE1A011;2025-10-09;20:30;0440034;AL MALVILLE 4;0440044;AS LA MONTAGNE 3;;;;COMPLEXE ALICE MILLIAT;;;
PTPL44;03;CE1A012;2025-10-06;19:30;0442441;ORVAULT VB 4;0442442;VLS 7;;;;LA CHOLIERE;;;
PTPL44;03;CE1A013;2025-10-10;20:00;0440051;VOLLEY BALL LUCEEN 1;0440043;SVB TREILLIERES 2;;;;HALLE DES SPORTS DE LA MINAIS;;;
PTPL44;03;CE1A014;2025-10-09;20:45;0449539;VB MESANGER 2;0440018;USFEN;;;;COMPLEXE DES CORNOUAILLES;;;
PTPL44;03;CE1A015;2025-10-07;20:30;0440037;VVBL 5;0440046;GRANDCHAMP VB 1;;;;COMPLEXE SEVRE ET MAINE;;;
PTPL44;04;CE1A016;2025-10-14;20:15;0440044;AS LA MONTAGNE 3;0440046;GRANDCHAMP VB 1;;;;SALLE JULES LADOUMEGUE;;;
PTPL44;04;CE1A017;2025-10-13;20:30;0440018;USFEN;0440037;VVBL 5;;;;GYMNASE VICTOR HUGO;;;
PTPL44;04;CE1A018;2025-10-17;20:00;0440043;SVB TREILLIERES 2;0449539;VB MESANGER 2;;;;COMPLEXE DU GESVRE;;;
PTPL44;04;CE1A019;2025-10-13;20:00;0442442;VLS 7;0440051;VOLLEY BALL LUCEEN 1;;;;SALLE DE LA MARTELIERE;;;
PTPL44;04;CE1A020;2025-10-16;20:30;0440034;AL MALVILLE 4;0442441;ORVAULT VB 4;;;;COMPLEXE ALICE MILLIAT;;;
PTPL44;05;CE1A021;2025-11-03;19:30;0442441;ORVAULT VB 4;0440044;AS LA MONTAGNE 3;;;;LA CHOLIERE;;;
PTPL44;05;CE1A022;2025-11-07;20:00;0440051;VOLLEY BALL LUCEEN 1;0440034;AL MALVILLE 4;;;;HALLE DES SPORTS DE LA MINAIS;;;
PTPL44;05;CE1A023;2025-11-06;20:45;0449539;VB MESANGER 2;0442442;VLS 7;;;;COMPLEXE DES CORNOUAILLES;;;
PTPL44;05;CE1A024;2025-11-04;20:30;0440037;VVBL 5;0440043;SVB TREILLIERES 2;;;;COMPLEXE SEVRE ET MAINE;;;
PTPL44;05;CE1A025;2025-11-04;20:00;0440046;GRANDCHAMP VB 1;0440018;USFEN;;;;COMPLEXE CENT SILLONS;;;
PTPL44;06;CE1A026;2025-11-18;20:15;0440044;AS LA MONTAGNE 3;0440018;USFEN;;;;SALLE JULES LADOUMEGUE;;;
PTPL44;06;CE1A027;2025-11-21;20:00;0440043;SVB TREILLIERES 2;0440046;GRANDCHAMP VB 1;;;;COMPLEXE DU GESVRE;;;
PTPL44;06;CE1A028;2025-11-17;20:00;0442442;VLS 7;0440037;VVBL 5;;;;SALLE DE LA MARTELIERE;;;
