Entité;Jo;Match;Date;Heure;EQA_no;EQA_nom;EQB_no;EQB_nom;Set;Score;Total;Salle;Arb1;Arb2;
PTPL44;01;CE2A001;2026-09-25;21:00;0440004;VB MARSIEN 3;0449539;VB MESANGER 2;;;;COMPLEXE PAUL TOUZOT;;;
PTPL44;01;CE2A002;2026-09-24;20:00;0440034;AL MALVILLE 4;0442446;ASPTT 5;;;;COMPLEXE ALICE MILLIAT;;;
PTPL44;01;CE2A003;2026-09-25;20:15;0448335;ST HERBLAIN VB 4;0440049;SEVRE ET LOIRE 4;;;;GYMNASE DE LA BERNARDIERE;;;
PTPL44;01;CE2A004;0000-00-00;00:00;0440018;VBLA 2;;xxxxx;;;;SALLE EUGENE DURAND;;;
PTPL44;01;CE2A005;2026-09-23;20:00;0442442;VLS 2;0446523;SD MAUVES 2;;;;SALLE DE LA MARTELIERE;;;
PTPL44;02;CE2A006;2026-10-01;20:30;0449539;VB MESANGER 2;0446523;SD MAUVES 2;;;;COMPLEXE DES CORNOUAILLES;;;
PTPL44;02;CE2A007;0000-00-00;00:00;;xxxxx;0442442;VLS 2;;;;COMPLEXE SPORTIF SERGE PLÉE;;;
PTPL44;02;CE2A008;2026-10-01;20:30;0440049;SEVRE ET LOIRE 4;0440018;VBLA 2;;;;SALLE DU CHEVALIER;;;
PTPL44;02;CE2A009;2026-09-30;20:00;0442446;ASPTT 5;0448335;ST HERBLAIN VB 4;;;;GYMNASE GRAND CARCOUET;;;
PTPL44;02;CE2A010;2026-10-02;21:00;0440004;VB MARSIEN 3;0440034;AL MALVILLE 4;;;;COMPLEXE PAUL TOUZOT;;;
PTPL44;03;CE2A011;2026-10-08;20:00;0440034;AL MALVILLE 4;0449539;VB MESANGER 2;;;;COMPLEXE ALICE MILLIAT;;;
PTPL44;03;CE2A012;2026-10-09;20:15;0448335;ST HERBLAIN VB 4;0440004;VB MARSIEN 3;;;;GYMNASE DE LA BERNARDIERE;;;
PTPL44;03;CE2A013;2026-10-07;20:30;0440018;VBLA 2;0442446;ASPTT 5;;;;SALLE EUGENE DURAND;;;
PTPL44;03;CE2A014;2026-10-07;20:00;0442442;VLS 2;0440049;SEVRE ET LOIRE 4;;;;SALLE DE LA MARTELIERE;;;
